,Degree,BetweennessCentrality
Otu00245,6,906.890873015872
Otu00529,11,2629.64655505313
Botu00028,9,1702.48123718387
Botu00869,9,1762.93297258297
Botu00487,5,1266.1278971029
Botu00430,8,1709.90971528472
Otu00195,6,5380.53463364121
Otu00714,5,2292.47496114996
Botu00301,10,3285.44967923374
Botu00496,6,3578.1162266526
Botu00399,7,2092.61751426248
Botu01266,8,4282.30309795983
Botu01278,5,1436.85476190476
Botu00050,5,1460.38213905977
Botu00256,8,5481.4289618706
Botu01284,9,1377.49934685198
Botu00625,6,1032.00014952368
Botu02285,5,2581.5
Botu00357,5,935.403845174434
Botu01450,5,2047.18584281216
Botu00255,5,3531.61415718784
Otu00374,5,1665.39700577201
Botu00087,5,1061.03659118659
Botu00092,6,1911.09052320229
