,Degree,BetweennessCentrality
Botu00045,2,2
Otu00529,3,5
Botu00301,2,1
Botu00932,2,1
Botu00625,3,3
Botu00789,2,1
Botu00869,2,2
Botu00414,2,1
Botu00803,2,2
Botu01055,2,2
Otu00079,2,2
Otu00088,2,3
Botu00005,2,1
Botu00055,2,1
Botu00068,5,9
Botu00173,2,2
Botu00177,2,1
Botu00272,2,1
