OTU_ID	IN_130_MCB_26_S_ITS_S70	IN_130_MCB_2_S_ITS_S69	IN_130_MCB_9_S_ITS_S22	IN_132_MCB_16_S_ITS_S23	IN_132_MCB_17_S_ITS_S71	IN_132_MCB_27_S_ITS_S24	IN_272_MCB_10_S_ITS_S31	IN_272_MCB_11_S_ITS_S79	IN_272_MCB_24_S_ITS_S72	IN_55_MCB_6_S_ITS_S20	IN_55_MCB_7_S_ITS_S68	IN_55_MCB_8_S_ITS_S21	IN_WT_MCB_28_S_ITS_S32	IN_WT_MCB_29_S_ITS_S80	IN_WT_MCB_33_S_ITS_S33	TN_130_A_S_ITS_S35	TN_130_B_S_ITS_S83	TN_130_C_S_ITS_S36	TN_132_A_S_ITS_S84	TN_132_B_S_ITS_S43	TN_132_C_S_ITS_S91	TN_272_A_S_ITS_S44	TN_272_B_S_ITS_S92	TN_272_C_S_ITS_S45	TN_55_A_S_ITS_S81	TN_55_B_S_ITS_S34	TN_55_C_S_ITS_S82	TN_LS_1_S_ITS_S93	TN_LS_2_S_ITS_S46	TN_LS_3_S_ITS_S94	TN_WT_MB_19_S_ITS_S47	TN_WT_MB_20_S_ITS_S95	TN_WT_MB_21_S_ITS_S48	WA130_BNL_20_S_ITS_S9	WA132_RN_7_S_ITS_S57	WA132_RN_8_S_ITS_S10	WA272_BNL_17_S_ITS_S59	WA272_BNL_18_S_ITS_S12	WA272_RN_10_S_ITS_S11	WA_55_BNL_19_S_ITS_S8	WA_55_RN_1_S_ITS_S7	WA_55_RN_2_S_ITS_S55	WA_WT_BNL_21_S_ITS_S60	WA_WT_BNL_22_S_ITS_S19	WA_WT_BNL_23_S_ITS_S67	taxonomy
Otu00011	0	0	0	0	0	0	0	1630	0	0	0	0	0	221	0	0	3365	348	1470	1305	0	1772	0	806	331	0	1230	42	371	4	1376	0	1	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Rozellomycota(100);c__Rozellomycotina_cls_Incertae_sedis(100);o__GS11(100);f__unclassified_GS11(100);g__unclassified_GS11(100);s__GS11_sp(100);
Otu00012	690	631	610	621	458	282	212	1049	253	0	374	362	496	688	191	122	118	365	312	122	132	467	244	583	336	89	193	358	1060	156	395	225	35	1	0	0	617	1	52	0	5	0	9	0	433	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);o__Pleosporales_unclassified(100);o__Pleosporales_unclassified(100);o__Pleosporales_unclassified(100);
Otu00013	330	190	44	12	86	217	548	850	267	209	179	24	191	1233	90	108	262	305	877	540	354	108	201	242	192	110	437	329	500	77	135	328	607	196	391	71	10	240	623	308	127	149	420	4	171	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Bionectriaceae(100);g__Clonostachys(100);g__Clonostachys_unclassified(100);
Otu00014	9	49	534	776	526	24	27	0	211	2384	128	483	46	5	5	29	3	2	114	47	0	0	589	5	4	3	536	0	91	1	0	0	1	409	59	118	532	168	126	257	136	141	116	2407	347	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Eurotiales(100);f__Aspergillaceae(100);g__Penicillium(100);g__Penicillium_unclassified(100);
Otu00015	0	0	0	0	0	0	0	4	0	0	0	0	0	7286	0	0	4	758	2519	3	0	20	0	2	17	0	1	12	14	389	0	581	0	0	0	0	0	0	0	1	0	0	0	0	0	k__Fungi(100);p__Rozellomycota(100);c__Rozellomycotina_cls_Incertae_sedis(100);o__GS11(100);f__unclassified_GS11(100);g__unclassified_GS11(100);s__GS11_sp(100);
Otu00016	11	25	1	0	0	1	2	0	8	80	10	3	7	2	75	61	10	0	0	3	4	7	16	0	7	11	0	45	0	39	1	5	155	5	2316	69	0	631	21	118	1302	3879	3	75	7	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Eurotiales(100);f__Aspergillaceae(100);g__Penicillium(100);s__Penicillium_neocrassum(100);
Otu00017	445	192	142	845	619	617	31	14	1222	6	41	692	133	46	7	4	9	21	30	11	34	2	28	7	1	5	4	11	24	12	2	10	72	196	204	207	312	217	292	214	236	456	259	8	1777	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Nectriaceae(100);f__Nectriaceae_unclassified(100);f__Nectriaceae_unclassified(100);
Otu00018	349	305	20	51	28	155	76	21	129	0	679	208	76	454	0	9	2	19	9	347	2096	166	242	29	9	1	994	807	574	785	201	671	1157	0	182	10	0	4	0	130	392	73	3	0	19	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Bionectriaceae(100);f__Bionectriaceae_unclassified(100);f__Bionectriaceae_unclassified(100);
Otu00019	61	36	2284	1441	1359	802	94	0	270	72	17	1123	138	0	86	376	0	0	0	0	0	0	0	0	0	47	0	0	0	3	0	0	0	29	9	57	70	70	50	278	31	20	19	41	1419	k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Thelebolales(100);f__Pseudeurotiaceae(100);g__Pseudogymnoascus(100);s__Pseudogymnoascus_roseus(100);
Otu00020	206	240	7	35	97	169	61	0	153	1144	266	51	120	0	81	16	0	0	0	0	51	0	13	0	0	73	0	0	0	0	0	1	276	320	195	711	298	897	305	451	356	621	281	1307	37	k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Helotiales(100);f__Helotiaceae(100);g__Tetracladium(100);s__Tetracladium_sp(100);
