,Kingdom,Phylum,Class,Order,Family,Genus,Species,name,p0.00005.r0.6,p0.00001.r0.6,p0.000005.r0.6,p0.000001.r0.6,p0.00005.r0.8,p0.00001.r0.8,p0.000005.r0.8,p0.000001.r0.8
Botu00192,Bacteria,Chloroflexi,Gitt-GS-136,Gitt-GS-136_or,Gitt-GS-136_fa,Gitt-GS-136_ge,NA,Botu00192,0,0,1,0,0,0,1,0
Botu00045,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,NA,Botu00045,0,0,0,1,0,0,0,1
Botu00414,Bacteria,Planctomycetes,OM190,OM190_or,OM190_fa,OM190_ge,NA,Botu00414,0,0,0,1,0,0,0,1
Botu00803,Bacteria,Acidobacteria,Acidobacteriia,Subgroup_2,Subgroup_2_fa,Subgroup_2_ge,NA,Botu00803,0,0,0,1,0,0,0,1
Botu01055,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,uncultured,NA,Botu01055,0,0,0,1,0,0,0,1
Otu00088,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__Tetracladium_sp,Otu00088,0,0,0,1,0,0,0,1
Botu00005,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae_ge,NA,Botu00005,0,0,0,1,0,0,0,1
Botu00055,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,NA,Botu00055,0,0,0,1,0,0,0,1
Botu00177,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,IS-44,NA,Botu00177,0,0,0,1,0,0,0,1
Botu00272,Bacteria,Acidobacteria,Blastocatellia_(Subgroup_4),Pyrinomonadales,Pyrinomonadaceae,RB41,NA,Botu00272,0,0,0,1,0,0,0,1
