"","P","R","Name","Kolmogorov.mean","Entropy.mean","Complex.Index.mean","Norm.Edge.Complex.mean","Shannon.ent.mean","Shannon.2nd.mean","Kolmogorov.sd","Entropy.sd","Complex.Index.sd","Norm.Edge.Complex.sd","Shannon.ent.sd","Shannon.2nd.sd"
"1",5e-05,"0.6","IN",16195.8202577683,7.85175492045117,0.165170924815362,0.00560305555555556,0.0886540688937136,0.177069850727339,2218.760781772,0.115897080461664,0.0108965479607644,0.000363469469461562,0.00470325839983391,0.00937728999986937
"2",5e-05,"0.6","TN",72052.4340925907,8.72871154630606,0.384463887789141,0.0185618055555556,0.228792372275189,0.455962128580958,10683.6479354494,0.0595466754596361,0.0252857948743437,0.00140457772744343,0.0132443639204141,0.0263270301709284
"3",5e-05,"0.6","WA",8675.85931174462,8.18840339925254,0.0693123617240765,0.00420402777777778,0.0700442536247971,0.140062350558396,1048.2401602495,0.0291794686461145,0.000440265109664604,1.77401603106977e-05,0.000244223803909199,0.000488030280499019
"4",5e-05,"0.8","IN",18025.7460649039,7.86301265431682,0.173796345060795,0.00580611111111111,0.0912889023624089,0.182271215806411,3138.17346355311,0.114467191039034,0.00742077662587056,0.000225979925160839,0.00289558059740458,0.00578123595735285
"5",5e-05,"0.8","TN",71480.3636529588,8.71522015161041,0.382437198049994,0.0185359722222222,0.228493153166555,0.455441632312529,11382.7334623961,0.0556876735604444,0.027855219429885,0.00165780011777862,0.0155015327649487,0.0306236150235783
"6",5e-05,"0.8","WA",8352.76501126302,8.18392043820569,0.0694038344080932,0.00421222222222222,0.0701570636768271,0.1402914715401,768.797592997369,0.0202775581359032,0.000245663124089599,1.30413945845356e-05,0.000179436410534578,0.000363685343877275
"7",1e-05,"0.6","IN",10756.4246261539,6.8876968140977,0.136945843449712,0.00555542463945706,0.0880607409880448,0.175942167040559,1460.19602155646,0.0944931658753866,0.00798299771916551,0.000198873893657969,0.00257163648285106,0.00516130682234521
"8",1e-05,"0.6","TN",35192.5314076632,7.94849738993863,0.318871738980353,0.0140529267602979,0.184661130132183,0.368097275253754,6937.70819476072,0.10478233468606,0.025987586917681,0.00117258875763182,0.0120954158755404,0.0238704260723037
"9",1e-05,"0.6","WA",4142.75459598891,6.92856259337441,0.0344278469871754,0.00276769723819399,0.0494631045817342,0.0989221800814304,438.297995942969,0.0345657522755,2.94862033680808e-06,8.24328352278217e-06,0.000123497879442297,0.000248574707345823
"10",1e-05,"0.8","IN",10717.6252238241,6.92768849852922,0.138770568897683,0.00562700301630691,0.08898581629791,0.177808984709378,2116.14129389284,0.0987275194378487,0.00675807310560093,0.000205018129616019,0.0026564893794853,0.00533979133705363
"11",1e-05,"0.8","TN",36417.7169255419,7.89877404380916,0.325964597505082,0.0142818008294844,0.186856755028741,0.372536214145587,8525.38476047243,0.100709626170894,0.033500016185026,0.00166888911937316,0.0170983147574843,0.0338506615711948
"12",1e-05,"0.8","WA",4262.13157568494,6.9372051515563,0.0338303528140804,0.00276592987086436,0.0494365580295234,0.0988681932417711,322.529924383135,0.0181372040637982,0.00173514940816054,1.46191357314869e-05,0.000219200026637422,0.00043726534407741
"13",5e-06,"0.6","IN",7825.04054185616,6.2617637445297,0.120089995049448,0.00545991969066032,0.0868157510534654,0.173538026236778,1381.77851545223,0.178915271942183,0.00935577795404195,0.000246079508527399,0.00320633273812492,0.00638982539854128
"14",5e-06,"0.6","TN",22945.8141654361,7.40430680125514,0.286297009977798,0.0121049598453302,0.164199818404331,0.327634134344749,5267.41054217754,0.120522350186386,0.0378563034710711,0.00151576312619819,0.016155125760427,0.0320795170603364
"15",5e-06,"0.6","WA",3571.423559895,5.73278609138449,0.0238872789134746,0.00273358957813128,0.0489516318055104,0.0978879897151532,486.045362875622,0.0309846343589687,2.96978037800761e-05,6.85216449293496e-06,0.000102891919126191,0.000205640471315696
"16",5e-06,"0.8","IN",7810.96743352351,6.35321827827157,0.118959113512603,0.00549756469363474,0.0872996684018128,0.174501047244824,936.478193257992,0.133270923747534,0.00913364595854458,0.000287925521480727,0.00372158086324343,0.00746148978710269
"17",5e-06,"0.8","TN",23923.0030410951,7.39704809844644,0.287483730677911,0.0121607302201071,0.16492952558373,0.328861380615303,4824.39109085807,0.124942775846081,0.0249037963646349,0.00106831772422934,0.0113570429093487,0.0223357147196532
"18",5e-06,"0.8","WA",3936.87665723454,5.72461557258646,0.0238739976518677,0.00273078397815373,0.0489094577237471,0.0978068344613774,460.541864608723,0.0340137017876187,4.86555763112e-05,1.17513651570208e-05,0.00017660094266657,0.000350497172263627
"19",1e-06,"0.6","IN",4593.90821223394,4.72577548516751,0.0980816396685828,0.00676362456747405,0.103245683856655,0.2064113123347,764.384686356807,0.254432205445095,0.0225964804283538,0.000747697438935428,0.00923814389249813,0.0184204148869791
"20",1e-06,"0.6","TN",6658.65815745866,4.51551701485498,0.203640212360668,0.00897491349480969,0.12927008406667,0.257988092427047,1470.99069707688,0.36383704391967,0.0440775214668112,0.00176269861711382,0.0205681532267644,0.0409261953146708
"21",1e-06,"0.6","WA",2333.00509122935,2.11128067578315,0.0154186216939635,0.00432525951557093,0.0717079111301887,0.143334153632008,361.573202197926,0.0709077803228061,5.55881332700035e-17,0,0,4.27767372485543e-05
"22",1e-06,"0.8","IN",4201.82268253047,4.63189335590035,0.100102024379065,0.00646626297577855,0.0995497566926007,0.198986932996181,875.200675528198,0.213807044061107,0.0241176906798623,0.000720558761055212,0.00898345355209848,0.0178480542189936
"23",1e-06,"0.8","TN",6100.11453838468,4.5762521525887,0.188123438332624,0.00862618944636678,0.125325054501133,0.250305772167096,1523.54566574127,0.233053768297184,0.047004397619703,0.00153688474753617,0.0181669784557084,0.0361451926876911
"24",1e-06,"0.8","WA",2268.95744387224,2.1140754993962,0.0151628194199135,0.0043225562283737,0.0716708782767999,0.14328072371851,557.966726567609,0.0661109808758416,0.00114398254714985,1.20894678714305e-05,0.000165615955156445,0.000320224699737814
