OTU_ID	IN_MCB10_272s_S46_L001_R1_001	IN_MCB11_272s_S7_L001_R1_001	IN_MCB16_132s_S70_L001_R1_001	IN_MCB17_132s_S78_L001_R1_001	IN_MCB24_272s_S94_L001_R1_001	IN_MCB26_130s_S62_L001_R1_001	IN_MCB27_132s_S86_L001_R1_001	IN_MCB28_WTs_S15_L001_R1_001	IN_MCB2_130s_S38_L001_R1_001	IN_MCB6_55s_S14_L001_R1_001	IN_MCB7_55s_S22_L001_R1_001	IN_MCB9_130s_S54_L001_R1_001	IN_WT_MCB_29s_S23_L001_R1	IN_WT_MCB_33s_S31_L001_R1	TN_130_As_S71_L001_R1_001	TN_130_Bs_S79_L001_R1_001	TN_130_Cs_S87_L001_R1_001	TN_132_As_S95_L001_R1_001	TN_132_Bs_S47_L001_R1_001	TN_132_Cs_S8_L001_R1_001	TN_272_As_S16_L001_R1_001	TN_272_Bs_S24_L001_R1_001	TN_272_Cs_S32_L001_R1_001	TN_55_As_S39_L001_R1_001	TN_55_Bs_S55_L001_R1_001	TN_55_Cs_S63_L001_R1_001	TN_LS_1s_S40_L001_R1_001	TN_LS_2s_S56_L001_R1_001	TN_LS_3s_S64_L001_R1_001	TN_WT_MB_19s_S72_L001_R1	TN_WT_MB_20s_S80_L001_R1	TN_WT_MB_21s_S88_L001_R1	WA_BNL17_272s_S77_L001_R1_001	WA_BNL18_272s_S85_L001_R1_001	WA_BNL19_55s_S13_L001_R1_001	WA_BNL20_130s_S29_L001_R1_001	WA_BNL21_WTs_S93_L001_R1_001	WA_BNL22_WTs_S45_L001_R1_001	WA_BNL23_WTs_S6_L001_R1_001	WA_RN10_272s_S69_L001_R1_001	WA_RN1_55s_S44_L001_R1_001	WA_RN2_55s_S5_L001_R1_001	WA_RN4_130s_S21_L001_R1_001	WA_RN7_132s_S37_L001_R1_001	WA_RN8_132s_S53_L001_R1_001	WA_RN9_132s_S61_L001_R1_001	taxonomy
Otu0001	4	1	3	6	5	0	3	1	6	22	0	2	29	1	1	14	146	85	1	11	33	42	45	0	4	2	0	3	0	5	0	0	737	537	1001	1740	947	854	1189	346	511	592	224	889	321	699	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Didymellaceae(100);f__Didymellaceae_unclassified(100);f__Didymellaceae_unclassified(100);
Otu0002	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1093	638	712	309	806	872	215	1397	249	783	232	647	378	680	k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);
Otu0003	1152	1097	223	281	156	1719	1489	1089	705	1061	687	969	737	1294	187	478	1086	73	55	46	8	14	4	184	75	671	271	90	285	1184	633	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Phaeomoniellales(100);o__Phaeomoniellales_unclassified(100);o__Phaeomoniellales_unclassified(100);o__Phaeomoniellales_unclassified(100);
Otu0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	282	12	74	24	44	76	0	1033	0	516	19	1153	294	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Melanommataceae(100);f__Melanommataceae_unclassified(100);f__Melanommataceae_unclassified(100);
Otu0005	349	672	222	161	68	873	332	343	485	358	391	409	676	140	480	291	78	121	3	99	0	1	0	4	12	40	278	242	160	293	288	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Phaeomoniellales(100);o__Phaeomoniellales_unclassified(100);o__Phaeomoniellales_unclassified(100);o__Phaeomoniellales_unclassified(100);
Otu0006	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	286	216	163	156	198	81	393	398	88	302	125	100	97	186	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Dothideales(100);f__Aureobasidiaceae(100);g__Aureobasidium(100);s__Aureobasidium_pullulans(100);
Otu0007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	63	366	143	456	8	29	87	108	23	5	134	4	125	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Pleosporales_fam_Incertae_sedis(100);f__Pleosporales_fam_Incertae_sedis_unclassified(100);f__Pleosporales_fam_Incertae_sedis_unclassified(100);
Otu0008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	335	1	8	1	55	36	5	131	69	315	118	192	252	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Melanommataceae(100);f__Melanommataceae_unclassified(98);f__Melanommataceae_unclassified(98);
Otu0009	2	0	4	8	1	0	1	2	0	1	0	0	3	2	1	0	3	13	23	3	2	8	19	5	0	8	0	1	0	1	2	0	9	1	6	6	29	52	74	4	164	21	132	112	109	254	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Pleosporaceae(100);g__Alternaria(100);s__Alternaria_alternata(99);
Otu0010	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	4	1	0	0	0	5	7	7	0	1	3	2	9	1	2	0	0	119	66	79	30	35	107	245	39	82	187	59	62	46	57	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Dothideales(100);f__Dothideaceae(100);g__Endoconidioma(99);s__Endoconidioma_populi(99);
Otu0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2022	0	88	28	972	4	380	1	0	0	1	1	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);o__Pleosporales_unclassified(100);o__Pleosporales_unclassified(100);o__Pleosporales_unclassified(100);
Otu0012	3	6	1	6	3	0	2	2	3	1	2	0	4	2	4	97	4	11	45	16	5	11	11	0	3	8	1	0	2	5	3	6	3	10	11	10	29	44	74	50	124	39	38	76	36	18	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);f__Mycosphaerellaceae(100);g__Mycosphaerella(100);s__Mycosphaerella_tassiana(100);
Otu0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	134	186	62	82	175	9	109	22	70	111	64	46	60	k__Fungi(100);p__Ascomycota(100);c__Taphrinomycetes(100);o__Taphrinales(100);f__unclassified_Taphrinales(58);g__unclassified_Taphrinales(58);s__Taphrinales_sp(58);
Otu0014	0	1	0	20	2	0	0	3	3	0	0	0	0	0	1	385	322	657	46	10	12	2	237	8	16	3	29	13	13	5	44	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Didymosphaeriaceae(100);g__Paraconiothyrium(98);g__Paraconiothyrium_unclassified(98);
Otu0015	0	0	0	0	1	0	0	0	0	0	0	0	0	0	53	195	95	211	114	380	167	180	382	130	477	215	0	0	0	2	6	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);
Otu0016	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	102	3	0	0	1	34	33	14	0	1	0	9	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Didymellaceae(100);f__Didymellaceae_unclassified(100);f__Didymellaceae_unclassified(100);
Otu0017	0	0	0	0	0	0	19	0	1	0	1	0	0	0	2	143	171	2	32	791	75	442	503	6	46	88	0	19	0	7	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);o__Pleosporales_unclassified(100);o__Pleosporales_unclassified(100);o__Pleosporales_unclassified(100);
Otu0018	18	1	18	0	30	5	7	40	129	333	507	362	107	11	1	0	0	0	0	0	0	0	0	0	0	0	179	258	11	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Phaeomoniellales(100);o__Phaeomoniellales_unclassified(100);o__Phaeomoniellales_unclassified(100);o__Phaeomoniellales_unclassified(100);
Otu0019	7	0	0	0	0	3	1	0	0	0	0	0	0	1	55	79	34	317	135	173	102	260	33	459	280	399	5	3	0	22	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(94);p__Ascomycota_unclassified(94);p__Ascomycota_unclassified(94);p__Ascomycota_unclassified(94);p__Ascomycota_unclassified(94);
Otu0020	0	0	1	1	1158	0	0	0	0	0	0	0	1	0	0	0	0	0	0	27	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Diaporthales(100);f__Diaporthales_fam_Incertae_sedis(100);g__Juglanconis(100);s__Juglanconis_juglandina(100);
Otu0021	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	82	164	84	56	115	11	54	11	45	11	27	12	71	k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);
Otu0022	179	127	32	82	31	45	41	4	18	35	47	32	22	15	10	30	6	5	33	17	69	110	189	22	35	3	106	44	27	97	208	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Massarinaceae(100);g__Helminthosporium(100);s__Helminthosporium_asterinum(100);
Otu0023	3	3	1288	211	104	5	5	142	156	162	104	97	14	14	0	0	51	0	0	0	0	2	0	0	20	0	6	30	10	1	9	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Botryosphaeriales(100);f__Botryosphaeriaceae(100);g__Diplodia(100);g__Diplodia_unclassified(100);
Otu0024	1	0	0	0	0	0	1	0	7	3	12	0	3	0	0	2	0	0	0	0	0	0	0	0	1	0	0	65	8	0	0	0	0	12	0	222	0	32	70	0	96	0	128	126	63	0	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Chaetothyriales(100);o__Chaetothyriales_unclassified(100);o__Chaetothyriales_unclassified(100);o__Chaetothyriales_unclassified(100);
Otu0025	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	242	386	323	970	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Cucurbitariaceae(100);f__Cucurbitariaceae_unclassified(100);f__Cucurbitariaceae_unclassified(100);
Otu0026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	41	62	38	35	153	10	35	16	13	14	10	9	40	k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(96);p__Ascomycota_unclassified(96);p__Ascomycota_unclassified(96);p__Ascomycota_unclassified(96);p__Ascomycota_unclassified(96);
Otu0027	9	13	4	64	3	21	112	14	5	9	3	1	2	10	6	43	23	54	54	18	114	116	195	73	143	100	18	73	25	19	40	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Chaetothyriales(100);f__Trichomeriaceae(100);f__Trichomeriaceae_unclassified(100);f__Trichomeriaceae_unclassified(100);
Otu0028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	13	2	6	52	13	257	0	8	24	24	3	0	22	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Tremellaceae(100);g__Cryptococcus(100);s__Cryptococcus_cuniculi(100);
Otu0029	0	0	1	282	240	0	0	18	25	74	204	182	13	34	0	8	1	0	0	0	0	0	19	0	0	0	0	3	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Togniniales(100);f__Togniniaceae(100);g__Phaeoacremonium(100);g__Phaeoacremonium_unclassified(100);
Otu0030	4	6	0	20	5	5	1	2	2	2	2	0	24	12	10	59	26	135	40	73	74	119	13	35	227	186	7	130	59	9	47	37	0	0	0	1	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Chaetothyriales(100);f__Trichomeriaceae(100);g__unclassified_Trichomeriaceae(100);s__Trichomeriaceae_sp(100);
Otu0031	179	116	35	11	60	3	1	30	0	188	55	0	113	3	0	0	0	0	0	0	82	0	0	0	0	0	0	1	1	0	3	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);o__Pleosporales_unclassified(100);o__Pleosporales_unclassified(100);o__Pleosporales_unclassified(100);
Otu0032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	87	0	11	1	23	73	1	7	93	85	6	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Phaeosphaeriaceae(72);f__Phaeosphaeriaceae_unclassified(71);f__Phaeosphaeriaceae_unclassified(71);
Otu0033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	59	92	16	46	4	4	39	1	37	2	98	1	18	k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);
Otu0034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	48	22	3	35	36	33	69	26	30	5	14	15	72	k__Fungi(100);p__Ascomycota(100);c__Arthoniomycetes(100);o__Lichenostigmatales(100);f__Phaeococcomycetaceae(100);g__Phaeococcomyces(100);s__Phaeococcomyces_sp(100);
Otu0035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	67	3	11	50	0	4	95	39	9	k__Fungi(100);p__Basidiomycota(100);c__Microbotryomycetes(100);c__Microbotryomycetes_unclassified(100);c__Microbotryomycetes_unclassified(100);c__Microbotryomycetes_unclassified(100);c__Microbotryomycetes_unclassified(100);
Otu0036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	6	13	23	4	47	3	51	8	1	4	72	7	53	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Coniothyriaceae(99);f__Coniothyriaceae_unclassified(99);f__Coniothyriaceae_unclassified(99);
Otu0037	0	0	0	0	0	0	23	264	3	262	69	12	26	22	0	2	0	0	0	0	0	0	0	0	0	0	18	80	170	145	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Coryneliales(100);f__Coryneliaceae(100);g__Caliciopsis(100);s__Caliciopsis_valentina(100);
Otu0038	48	220	0	0	0	46	0	204	12	0	4	1	107	0	5	42	0	0	2	0	11	0	6	0	0	45	0	1	3	4	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Orbiliomycetes(100);o__Orbiliales(100);f__Orbiliaceae(100);g__Orbilia(100);g__Orbilia_unclassified(100);
Otu0039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	10	17	38	48	2	16	77	10	125	87	19	28	32	k__Fungi(100);p__Basidiomycota(100);c__Cystobasidiomycetes(100);o__Cystobasidiomycetes_ord_Incertae_sedis(100);f__Buckleyzymaceae(100);g__Buckleyzyma(100);s__Buckleyzyma_aurantiaca(100);
Otu0040	82	66	18	33	0	16	8	2	1	11	3	9	1	1	2	8	2	6	21	4	105	9	55	10	14	7	186	118	40	44	96	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Massarinaceae(100);g__Helminthosporium(100);g__Helminthosporium_unclassified(100);
Otu0041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	3	17	10	28	6	8	22	15	33	14	39	85	32	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Dothideales(100);o__Dothideales_unclassified(100);o__Dothideales_unclassified(100);o__Dothideales_unclassified(100);
Otu0042	0	1	963	407	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Saccharomycetes(100);o__Saccharomycetales(100);f__Phaffomycetaceae(100);g__Wickerhamomyces(100);s__Wickerhamomyces_hampshirensis(100);
Otu0043	14	1	0	0	0	0	0	5	580	0	0	228	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Agaricales(100);f__Tricholomataceae(100);g__Mycena(100);g__Mycena_unclassified(100);
Otu0044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	48	12	4	18	93	0	136	2	28	13	10	8	12	k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);
Otu0045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Cystofilobasidiales(100);f__unclassified_Cystofilobasidiales(100);g__unclassified_Cystofilobasidiales(100);s__Cystofilobasidiales_sp(100);
Otu0046	0	0	0	0	0	0	0	0	1	0	467	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);o__Pleosporales_unclassified(100);o__Pleosporales_unclassified(100);o__Pleosporales_unclassified(100);
Otu0047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	35	90	0	10	35	11	33	k__Fungi(100);p__Ascomycota(100);c__Saccharomycetes(100);o__Saccharomycetales(100);f__Phaffomycetaceae(100);g__Wickerhamomyces(100);s__Wickerhamomyces_hampshirensis(100);
Otu0048	7	10	3	18	3	30	0	0	0	2	1	0	0	0	14	1	1	16	1	13	134	0	21	443	1	1	0	0	1	2	3	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);o__Pleosporales_unclassified(100);o__Pleosporales_unclassified(100);o__Pleosporales_unclassified(100);
Otu0049	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	38	109	6	8	122	42	258	93	0	17	102	6	9	1	8	1	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);c__Leotiomycetes_unclassified(100);c__Leotiomycetes_unclassified(100);c__Leotiomycetes_unclassified(100);c__Leotiomycetes_unclassified(100);
Otu0050	75	59	26	95	49	34	81	39	30	24	21	26	31	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Chaetothyriales(100);f__Herpotrichiellaceae(100);g__Rhinocladiella(100);s__Rhinocladiella_sp(100);
Otu0051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	42	0	24	4	0	0	24	151	0	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);o__Pleosporales_unclassified(100);o__Pleosporales_unclassified(100);o__Pleosporales_unclassified(100);
Otu0052	0	0	4	108	14	0	18	4	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	14	383	0	0	0	0	0	0	0	1	0	0	56	0	0	49	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);o__Pleosporales_unclassified(100);o__Pleosporales_unclassified(100);o__Pleosporales_unclassified(100);
Otu0053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	18	145	1	0	0	0	0	0	0	441	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);c__Leotiomycetes_unclassified(97);c__Leotiomycetes_unclassified(97);c__Leotiomycetes_unclassified(97);c__Leotiomycetes_unclassified(97);
Otu0054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	32	8	4	15	10	23	0	17	0	9	33	47	16	k__Fungi(100);p__Basidiomycota(100);c__Microbotryomycetes(100);c__Microbotryomycetes_unclassified(100);c__Microbotryomycetes_unclassified(100);c__Microbotryomycetes_unclassified(100);c__Microbotryomycetes_unclassified(100);
Otu0055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	4	1	2	2	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Melanommataceae(100);f__Melanommataceae_unclassified(100);f__Melanommataceae_unclassified(100);
Otu0056	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	5	0	15	11	414	6	0	0	22	14	88	170	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Lecanoromycetes(100);o__Caliciales(98);f__Physciaceae(98);g__Hyperphyscia(88);s__Hyperphyscia_adglutinata(88);
Otu0057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	33	20	16	41	9	5	14	1	135	11	12	3	7	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Dothideales(100);f__Aureobasidiaceae(100);g__Aureobasidium(100);s__Aureobasidium_pullulans(100);
Otu0058	0	1	0	0	0	0	0	0	0	1	0	0	0	0	11	37	44	41	74	27	63	94	50	24	97	63	5	10	0	3	4	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);
Otu0059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	42	30	6	45	9	7	30	3	20	10	10	12	15	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Filobasidiales(100);f__Filobasidiaceae(100);g__Filobasidium(100);s__Filobasidium_wieringae(100);
Otu0060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);o__Pleosporales_unclassified(99);o__Pleosporales_unclassified(99);o__Pleosporales_unclassified(99);
Otu0061	15	28	5	37	33	6	58	34	16	34	9	6	31	32	0	0	0	0	0	0	1	0	0	1	15	2	17	37	33	16	71	21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(69);p__Ascomycota_unclassified(69);p__Ascomycota_unclassified(69);p__Ascomycota_unclassified(69);p__Ascomycota_unclassified(69);
Otu0062	0	0	0	0	2	0	36	21	0	6	1	1	7	190	0	39	0	0	0	122	0	0	0	0	0	0	284	64	4	9	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__unclassified_Pleosporales(100);g__unclassified_Pleosporales(100);s__Pleosporales_sp(100);
Otu0063	39	2	32	17	0	1	4	1	0	27	32	0	16	0	0	46	19	2	1	61	8	1	7	0	25	0	1	11	75	128	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);o__Pleosporales_unclassified(100);o__Pleosporales_unclassified(100);o__Pleosporales_unclassified(100);
Otu0064	2	4	8	22	4	18	23	4	3	5	1	0	0	21	14	3	6	12	8	0	0	2	4	9	3	19	168	271	87	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);f__Capnodiales_fam_Incertae_sedis(100);g__Arthrocatena(100);s__Arthrocatena_tenebrio(100);
Otu0065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	65	17	0	182	55	0	5	0	0	2	5	48	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Botryosphaeriales(100);f__Botryosphaeriaceae(100);g__Botryosphaeria(100);g__Botryosphaeria_unclassified(100);
Otu0066	31	22	13	23	40	19	47	25	26	19	20	10	33	30	0	0	0	13	0	1	0	0	0	1	1	0	55	34	6	10	25	13	0	0	0	0	0	0	0	1	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Chaetothyriales(100);f__Herpotrichiellaceae(100);g__Rhinocladiella(100);s__Rhinocladiella_sp(100);
Otu0067	0	0	2	100	0	0	0	0	0	0	0	0	0	0	0	5	13	22	6	1	3	0	396	0	2	1	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Didymellaceae(100);f__Didymellaceae_unclassified(100);f__Didymellaceae_unclassified(100);
