OTU_ID	IN_MCB10_272s_S46_L001_R1_001	IN_MCB11_272s_S7_L001_R1_001	IN_MCB16_132s_S70_L001_R1_001	IN_MCB17_132s_S78_L001_R1_001	IN_MCB24_272s_S94_L001_R1_001	IN_MCB26_130s_S62_L001_R1_001	IN_MCB27_132s_S86_L001_R1_001	IN_MCB28_WTs_S15_L001_R1_001	IN_MCB2_130s_S38_L001_R1_001	IN_MCB6_55s_S14_L001_R1_001	IN_MCB7_55s_S22_L001_R1_001	IN_MCB9_130s_S54_L001_R1_001	IN_WT_MCB_29s_S23_L001_R1	IN_WT_MCB_33s_S31_L001_R1	TN_130_As_S71_L001_R1_001	TN_130_Bs_S79_L001_R1_001	TN_130_Cs_S87_L001_R1_001	TN_132_As_S95_L001_R1_001	TN_132_Bs_S47_L001_R1_001	TN_132_Cs_S8_L001_R1_001	TN_272_As_S16_L001_R1_001	TN_272_Bs_S24_L001_R1_001	TN_272_Cs_S32_L001_R1_001	TN_55_As_S39_L001_R1_001	TN_55_Bs_S55_L001_R1_001	TN_55_Cs_S63_L001_R1_001	TN_LS_1s_S40_L001_R1_001	TN_LS_2s_S56_L001_R1_001	TN_LS_3s_S64_L001_R1_001	TN_WT_MB_19s_S72_L001_R1	TN_WT_MB_20s_S80_L001_R1	TN_WT_MB_21s_S88_L001_R1	WA_BNL17_272s_S77_L001_R1_001	WA_BNL18_272s_S85_L001_R1_001	WA_BNL19_55s_S13_L001_R1_001	WA_BNL20_130s_S29_L001_R1_001	WA_BNL21_WTs_S93_L001_R1_001	WA_BNL22_WTs_S45_L001_R1_001	WA_BNL23_WTs_S6_L001_R1_001	WA_RN10_272s_S69_L001_R1_001	WA_RN1_55s_S44_L001_R1_001	WA_RN2_55s_S5_L001_R1_001	WA_RN4_130s_S21_L001_R1_001	WA_RN7_132s_S37_L001_R1_001	WA_RN8_132s_S53_L001_R1_001	WA_RN9_132s_S61_L001_R1_001	taxonomy
Otu0388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__unclassified_Pleosporales(98);g__unclassified_Pleosporales(98);s__Pleosporales_sp(98);
Otu0389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	29	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Basidiomycota(100);p__Basidiomycota_unclassified(100);p__Basidiomycota_unclassified(100);p__Basidiomycota_unclassified(100);p__Basidiomycota_unclassified(100);p__Basidiomycota_unclassified(100);
Otu0390	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Tremellaceae(100);g__Cryptococcus(100);s__Cryptococcus_cuniculi(100);
Otu0391	0	6	1	0	0	0	3	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	6	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Lecanoromycetes(100);c__Lecanoromycetes_unclassified(100);c__Lecanoromycetes_unclassified(100);c__Lecanoromycetes_unclassified(100);c__Lecanoromycetes_unclassified(100);
Otu0392	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);
Otu0393	2	2	2	1	4	2	12	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Chaetothyriales(100);f__Herpotrichiellaceae(100);g__Rhinocladiella(100);s__Rhinocladiella_sp(100);
Otu0394	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Tremellaceae(100);g__Bulleromyces(100);s__Bulleromyces_albus(100);
Otu0395	0	16	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Lecanoromycetes(100);o__Ostropales(100);f__unclassified_Ostropales(100);g__unclassified_Ostropales(100);s__Ostropales_sp(100);
Otu0396	0	0	7	0	0	0	1	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	30	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);c__Sordariomycetes_unclassified(100);c__Sordariomycetes_unclassified(100);c__Sordariomycetes_unclassified(100);c__Sordariomycetes_unclassified(100);
Otu0397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Cucurbitariaceae(100);f__Cucurbitariaceae_unclassified(100);f__Cucurbitariaceae_unclassified(100);
Otu0398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	2	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Lentitheciaceae(100);g__Pleurophoma(100);s__Pleurophoma_sp(100);
Otu0399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	2	1	3	0	2	4	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);
