,Degree,BetweennessCentrality
Botu00391,10,510.486822972864
Botu00061,20,889.106107340761
Botu00207,18,1676.24291346906
Botu00807,11,530.470190125294
Botu00654,22,834.197215648869
Botu01159,10,608.758567013649
Otu00948,15,736.168900530943
Botu01240,19,2450.12074081389
Botu01328,12,1333.4078647299
Botu00242,26,1558.86084091703
Botu01295,19,517.20905083533
Botu00066,11,522.749968587001
Botu00068,10,1005.06413985872
Botu00369,11,832.949959022418
Botu00127,12,786.232190062209
Botu00026,14,781.65583152567
Botu00240,25,1346.95430346361
Botu00538,19,1181.76953694753
Botu00553,15,1142.41820583266
Botu00640,24,1170.52201434286
Botu00667,12,844.282929327741
Botu00699,20,776.601315520457
Botu00945,21,664.782434490325
Botu00815,18,709.128635875855
Botu00615,21,3448.44790733866
Botu00189,11,1002.84531132973
Botu00341,11,792.255335270557
Botu00148,15,3227.32218364854
Botu00260,16,2081.56311718296
Botu00273,22,3582.84212913196
Botu00291,12,671.396899915302
Botu00652,14,2399.26372209595
Botu00295,10,671.436247165715
Botu00269,12,1124.76170719424
Botu00048,16,3226.81186055631
