,Degree,BetweennessCentrality
Botu00061,28,1540.75246152376
Botu00207,29,1850.79294323672
Botu00815,24,945.560800910956
Botu00306,14,782.665755361202
Botu00242,30,1194.21821674733
Botu02964,13,806.237436894695
Otu00948,19,849.233530982782
Botu01240,29,3220.00876251944
Botu00076,33,2325.81925438748
Botu00699,29,1908.34363796187
Botu00945,28,1073.41005237222
Botu01295,27,796.704191412409
Botu00148,22,3736.24622628564
Botu00127,16,1540.51892935702
Botu00026,18,1390.22203595569
Botu00240,33,1425.15472410395
Botu00538,25,1139.29212965293
Botu00553,23,1686.19350266015
Botu00615,35,4839.64209384223
Botu00640,32,1561.31226245148
Botu00273,28,4117.58078343097
Botu00260,21,1511.85855883885
Botu01108,18,1706.319297051
Botu00189,13,1259.64170898904
Botu00341,15,1887.99443380373
Botu01044,20,1661.13685901833
Botu00291,16,3872.67577727157
Botu00652,18,1340.79465927755
Botu00137,13,1163.76057892675
Botu00230,14,3455.81089218992
Botu00295,15,1050.30253683303
Botu00269,15,786.517130200181
Botu00048,18,1724.52978255889
