Var1	Var2	r	p	r.sign
Botu00093	Otu00010	-0.913984365484134	1.89446250997705e-06	0
Botu00366	Otu00016	0.918095156313256	1.3920235661935e-06	1
Botu00583	Otu00020	0.937169416645581	2.60359104053975e-07	1
Otu00117	Otu00024	0.901818181818182	4.3437559169579e-06	1
Otu00202	Otu00027	0.981175784559485	1.14662501715657e-10	1
Otu00225	Otu00027	0.910246595925815	2.47488827609388e-06	1
Botu00162	Otu00027	-0.929995535876868	5.16596688093784e-07	0
Botu00064	Otu00029	-0.904541212546341	3.6424848037786e-06	0
Botu00391	Otu00031	0.899647355829481	4.98037380936012e-06	1
Botu02397	Otu00031	0.902518357623709	4.15351541316333e-06	1
Botu00792	Otu00035	0.906756465614166	3.14411159285655e-06	1
Botu00262	Otu00045	0.917420635835042	1.46580960835863e-06	1
Otu00390	Otu00053	0.914541527300411	1.81860437886705e-06	1
Botu00061	Otu00053	0.913237924865832	2.00021873131284e-06	1
Botu00207	Otu00053	0.921976431379235	1.0250637907383e-06	1
Botu00216	Otu00053	-0.917564197474554	1.44983761618533e-06	0
Botu00262	Otu00053	0.942555447775728	1.4732937669848e-07	1
Botu00944	Otu00053	0.940966010733453	1.75247408584767e-07	1
Otu00911	Otu00055	0.917364944587726	1.47204501788067e-06	1
Botu00207	Otu00062	0.903185543512886	3.97875282764915e-06	1
Botu00506	Otu00062	0.912067394619802	2.17596828067101e-06	1
Otu00216	Otu00064	0.968131660242875	3.40376371532614e-09	1
Botu00238	Otu00064	0.910041847895112	2.51054626287939e-06	1
Botu00306	Otu00064	0.906349994556796	3.23102323696034e-06	1
Botu00891	Otu00065	0.900275315443509	4.78871234532718e-06	1
Botu00305	Otu00071	-0.955941436419755	2.71337177171205e-08	0
Otu00406	Otu00072	0.907696291496095	2.9506016636649e-06	1
Otu00122	Otu00078	0.937389693118051	2.5461993313769e-07	1
Otu00520	Otu00078	0.92159628284896	1.05697644103842e-06	1
Botu00067	Otu00078	0.925827000612216	7.44715937139873e-07	1
Botu00024	Otu00087	-0.931062998340234	4.68717390678108e-07	0
Botu00441	Otu00087	-0.905205951748699	3.4864725160233e-06	0
Botu00021	Otu00098	0.910714285714286	2.39502083720922e-06	1
Botu00276	Otu00109	0.945960952275103	9.98565292675835e-08	1
Botu01032	Otu00109	0.947877943928333	7.93310899194211e-08	1
Botu00207	Otu00112	0.922255885804608	1.00212171227909e-06	1
Botu01134	Otu00112	0.939260047129381	2.1002109251711e-07	1
Otu00370	Otu00116	0.905381892156972	3.44612617597662e-06	1
Botu00807	Otu00116	0.916156023745659	1.6129694313527e-06	1
Botu01180	Otu00121	0.911051580662643	2.33876650890252e-06	1
Botu00067	Otu00122	0.94270404832624	1.44922168487938e-07	1
Botu00122	Otu00123	-0.901610017889088	4.40169555648851e-06	0
Botu00159	Otu00125	-0.908443917284796	2.80385792095217e-06	0
Botu00956	Otu00134	0.900745500586224	4.64926533294552e-06	1
Botu00150	Otu00154	-0.906498279333603	3.19908770229915e-06	0
Botu00199	Otu00158	0.90273933762095	4.09493705211261e-06	1
Botu01001	Otu00158	0.938530989671749	2.26553642512783e-07	1
Botu02691	Otu00158	0.90913729009699	2.67325703928734e-06	1
Botu02190	Otu00183	-0.900290115665699	4.78427039185547e-06	0
Botu00055	Otu00191	0.913083903541573	2.02264294868471e-06	1
Botu00162	Otu00202	-0.916141039718975	1.61478438620577e-06	0
Botu01219	Otu00214	0.914941493275901	1.76572786880769e-06	1
Botu02197	Otu00216	0.938816957686027	2.19943400381339e-07	1
Botu01273	Otu00298	-0.953472768756207	3.84420868471125e-08	0
Botu00957	Otu00315	0.90386671559234	3.80669614097329e-06	1
Botu02134	Otu00321	0.908717072406517	2.75178614428384e-06	1
Botu00353	Otu00335	-0.912309988996912	2.13852288410976e-06	0
Botu00668	Otu00347	0.95843375299719	1.86961317538703e-08	1
Botu00073	Otu00355	-0.906488015713993	3.20128962183475e-06	0
Botu01188	Otu00361	0.917321584706853	1.47691509599923e-06	1
Botu02156	Otu00361	0.903672895371319	3.85500876998179e-06	1
Botu00014	Otu00375	-0.933139385228385	3.8617715247824e-07	0
Botu00050	Otu00375	0.910965776074443	2.35297132822332e-06	1
Botu00061	Otu00375	0.926575851705091	6.98464140080901e-07	1
Botu00262	Otu00375	0.916916130437882	1.52311018486451e-06	1
Botu00506	Otu00375	0.923316638841427	9.18907124169976e-07	1
Botu00654	Otu00375	0.922939024851938	9.47840626430718e-07	1
Botu01159	Otu00375	0.906050110328015	3.29642156793319e-06	1
Botu01591	Otu00375	0.90375740324962	3.83388141167451e-06	1
Botu00262	Otu00390	0.923316302991634	9.18932525628691e-07	1
Otu00681	Otu00406	0.943855796468871	1.2735934928898e-07	1
Botu00122	Otu00406	-0.935374072935532	3.11313738565744e-07	0
Botu00011	Otu00532	0.913788192315043	1.92179293878603e-06	1
Otu00948	Otu00535	0.907652909298109	2.95930969418379e-06	1
Botu00238	Otu00535	0.904315688406705	3.69671940037009e-06	1
Botu01240	Otu00535	0.913346754555086	1.98449956467783e-06	1
Botu01328	Otu00535	0.934277617680307	3.46358293157323e-07	1
Botu00810	Otu00552	0.916368388620429	1.58742925848721e-06	1
Botu01816	Otu00552	0.905490915852156	3.42132107911119e-06	1
Botu02964	Otu00630	0.926707903775483	6.90563082272888e-07	1
Otu00855	Otu00635	0.908181654498166	2.85462461335761e-06	1
Botu00078	Otu00635	0.903696114115064	3.84919432727671e-06	1
Botu00205	Otu00635	0.915579627902588	1.68402692013458e-06	1
Botu00251	Otu00635	-0.899771452652295	4.94199955292096e-06	0
Botu01188	Otu00635	0.910046228891798	2.50977882298997e-06	1
Botu00122	Otu00681	-0.923843605007803	8.79767963590794e-07	0
Botu00012	Otu00948	0.917328587716018	1.47612762413374e-06	1
Botu00058	Otu00948	0.929443783702728	5.42907954814709e-07	1
Botu00073	Otu00948	-0.929350030901813	5.47488342661495e-07	0
Botu00076	Otu00948	0.936747842093071	2.7164572369287e-07	1
Botu00158	Otu00948	0.904266879258463	3.70854535525211e-06	1
Botu00242	Otu00948	0.905192433894347	3.48958863627402e-06	1
Botu00251	Otu00948	-0.904266879258463	3.70854535525211e-06	0
Botu00306	Otu00948	0.915479134918204	1.69667935523421e-06	1
Botu00973	Otu00948	0.919804906585966	1.21877459213771e-06	1
Botu01188	Otu00948	0.923064428403661	9.38148643214731e-07	1
Botu01240	Otu00948	0.901272653794272	4.4969640118353e-06	1
Botu01295	Otu00948	0.904897222335559	3.5582221604713e-06	1
Botu01346	Otu00948	0.933027337969407	3.90296100549747e-07	1
Botu02156	Otu00948	0.912532948569373	2.10458429550364e-06	1
Botu00049	Botu00001	0.907142857142857	3.06331053545605e-06	1
Botu01518	Botu00004	-0.902803596260937	4.07803296198495e-06	0
Botu00432	Botu00005	-0.906978195440556	3.09752956706433e-06	0
Botu00663	Botu00005	0.904860521393709	3.56683287794368e-06	1
Botu00066	Botu00009	0.951700986142754	4.88022351419204e-08	1
Botu00068	Botu00009	0.922330984215777	9.96030203204157e-07	1
Botu00082	Botu00009	-0.960714285714286	1.30274897536253e-08	0
Botu00226	Botu00009	-0.907953892492289	2.89933315178459e-06	0
Botu00369	Botu00009	-0.932417374232705	4.13370328633533e-07	0
Botu00663	Botu00009	-0.917428028635288	1.46498354425262e-06	0
Botu01273	Botu00009	-0.925445077838262	7.69274690615163e-07	0
Botu00066	Botu00010	0.91234493032482	2.13317416575265e-06	1
Botu00097	Botu00010	0.9	4.87197094889424e-06	1
Botu00101	Botu00010	-0.901611460556293	4.40129180390159e-06	0
Botu00127	Botu00010	0.901757615312094	4.36054781260964e-06	1
Botu00130	Botu00010	0.913984365484134	1.89446250997705e-06	1
Botu00026	Botu00012	-0.932976243860187	3.9218654590556e-07	0
Botu00073	Botu00012	-0.948121645796064	7.69965411429041e-08	0
Botu00076	Botu00012	0.974955277280859	7.22640391970231e-10	1
Botu00205	Botu00012	0.930232558139535	5.05626535085568e-07	1
Botu00240	Botu00012	0.936326259104982	2.83339983031539e-07	1
Botu00242	Botu00012	0.902417550534521	4.18046892503021e-06	1
Botu00538	Botu00012	0.905998572560451	3.30777127977022e-06	1
Botu00553	Botu00012	0.915625292124993	1.67830373576372e-06	1
Botu00619	Botu00012	0.923704338820213	8.89973374107456e-07	1
Botu00640	Botu00012	0.95255185889755	4.35675953092129e-08	1
Botu00667	Botu00012	0.907626603653489	2.96460041671054e-06	1
Botu00699	Botu00012	0.946332737030411	9.55610977015908e-08	1
Botu00851	Botu00012	0.962367136804366	9.89145210184006e-09	1
Botu00945	Botu00012	0.989248900402254	3.06643599401468e-12	1
Botu01295	Botu00012	0.940919913223118	1.76118994499319e-07	1
Botu02959	Botu00012	0.903325258417537	3.94294379746363e-06	1
Botu00156	Botu00013	0.937642955461516	2.48152809412261e-07	1
Botu00253	Botu00013	0.901611460556293	4.40129180390159e-06	1
Botu00432	Botu00013	0.899822548928205	4.92627091919218e-06	1
Botu00565	Botu00013	-0.9623119830695	9.98472815538776e-09	0
Botu01026	Botu00013	0.909009908024827	2.69686165244032e-06	1
Botu00050	Botu00014	-0.917857142857143	1.41769685146897e-06	0
Botu00061	Botu00014	-0.927614311424208	6.38323203627778e-07	0
Botu00076	Botu00014	-0.909741203304282	2.56368176376753e-06	0
Botu00240	Botu00014	-0.910400113070471	2.44843067465084e-06	0
Botu00654	Botu00014	-0.931569336427208	4.47341491849329e-07	0
Botu00667	Botu00014	-0.903231608243144	3.96691656234793e-06	0
Botu00061	Botu00018	0.952636662792106	4.30728048783635e-08	1
Botu00207	Botu00018	0.946242637207103	9.65875486258483e-08	1
Botu00242	Botu00018	0.924867311721435	8.07713013806222e-07	1
Botu00355	Botu00018	0.904379270868303	3.68136121209339e-06	1
Botu00538	Botu00018	0.91234493032482	2.13317416575265e-06	1
Botu00654	Botu00018	0.900937462695559	4.59331499724769e-06	1
Botu00815	Botu00018	0.952636662792106	4.30728048783635e-08	1
Botu01279	Botu00018	0.916460174169929	1.57649571264074e-06	1
Botu02964	Botu00018	0.937368848728043	2.55158435269465e-07	1
Botu01531	Botu00021	0.916321695602301	1.59301563007475e-06	1
Botu00024	Botu00022	0.906166581680296	3.27089173479678e-06	1
Botu00726	Botu00023	-0.970316289672649	2.15665396652298e-09	0
Botu00073	Botu00026	0.927614311424208	6.38323203627778e-07	1
Botu00089	Botu00026	-0.932142857142857	4.24121822995005e-07	0
Botu00158	Botu00026	-0.908767107068644	2.74233603292373e-06	0
Botu00205	Botu00026	-0.949062041168121	6.85211474227287e-08	0
Botu00536	Botu00026	-0.910556018696732	2.4218035414858e-06	0
Botu00553	Botu00026	-0.96323838447613	8.5124192139574e-09	0
Botu00615	Botu00026	-0.907168161003966	3.05808010692132e-06	0
Botu00640	Botu00026	-0.915922753580996	1.64141866187961e-06	0
Botu00699	Botu00026	-0.932976243860187	3.9218654590556e-07	0
Botu00941	Botu00026	-0.902591960056311	4.13392745857166e-06	0
Botu00945	Botu00026	-0.913163544155121	2.01102187014079e-06	0
Botu01067	Botu00026	-0.942293532370369	1.51653901880877e-07	0
Botu01108	Botu00026	-0.9114654303753	2.27125569463027e-06	0
Botu00391	Botu00029	-0.912030195151201	2.18175828803346e-06	0
Botu00506	Botu00029	-0.904682111983324	3.6089390405003e-06	0
Botu00538	Botu00029	-0.901433691756272	4.45127624337793e-06	0
Botu00640	Botu00029	-0.93010752688172	5.11388802637569e-07	0
Botu00654	Botu00029	-0.9206016138256	1.1444324659049e-06	0
Botu00815	Botu00029	-0.913160616612313	2.01144806455389e-06	0
Botu00957	Botu00029	-0.923835125448029	8.80386532120525e-07	0
Botu00189	Botu00035	-0.911219924234403	2.31110547588287e-06	0
Botu00231	Botu00035	-0.928081571698689	6.12713042524859e-07	0
Botu00240	Botu00035	0.913984365484134	1.89446250997705e-06	1
Botu00341	Botu00035	0.906978195440556	3.09752956706433e-06	1
Botu00707	Botu00035	0.944545339630402	1.17726986381683e-07	1
Botu00807	Botu00035	0.913984365484134	1.89446250997705e-06	1
Botu00851	Botu00035	0.902420443635649	4.17969334831625e-06	1
Botu00941	Botu00035	0.900804649244318	4.63196531996779e-06	1
Botu01044	Botu00035	0.90028734756693	4.78510091328488e-06	1
Botu02485	Botu00035	0.920054135637262	1.19509696983044e-06	1
Botu00141	Botu00038	0.901610017889088	4.40169555648851e-06	1
Botu00074	Botu00041	0.984808257407975	2.87077028815474e-11	1
Botu00535	Botu00041	0.908767107068644	2.74233603292373e-06	1
Botu00676	Botu00041	0.932633000772928	4.05086288957079e-07	1
Botu01304	Botu00043	0.91506290402522	1.74993360513298e-06	1
Botu00118	Botu00048	-0.903398926654741	3.92417105432585e-06	0
Botu00148	Botu00048	0.919387616546817	1.25929657812662e-06	1
Botu00156	Botu00048	0.910399291375988	2.44857165676571e-06	1
Botu00189	Botu00048	0.909341589139821	2.63575947512251e-06	1
Botu00260	Botu00048	-0.908765652951699	2.74261029109546e-06	0
Botu00273	Botu00048	0.927844518330981	6.25596010550566e-07	1
Botu00291	Botu00048	0.926875028926984	6.80670894315227e-07	1
Botu00344	Botu00048	0.902331198102418	4.20367341247285e-06	1
Botu00536	Botu00048	-0.913160616612313	2.01144806455389e-06	0
Botu00553	Botu00048	-0.9012625424446	4.49984567651995e-06	0
Botu00615	Botu00048	-0.903466399796631	3.90704245023521e-06	0
Botu00652	Botu00048	-0.900627039521555	4.68407523546155e-06	0
Botu01044	Botu00048	-0.910984484045908	2.34986812719384e-06	0
Botu01108	Botu00048	-0.932191210567427	4.22211241080106e-07	0
Botu01232	Botu00048	-0.940471517071019	1.8478847452208e-07	0
Botu01407	Botu00048	-0.913116901200991	2.01782117636995e-06	0
Botu00239	Botu00049	0.938338176296165	2.3110397551207e-07	1
Botu00667	Botu00049	0.913984365484134	1.89446250997705e-06	1
Botu01229	Botu00049	0.910400113070471	2.44843067465084e-06	1
Botu00061	Botu00050	0.945487419544135	1.05561216212635e-07	1
Botu00260	Botu00050	0.907953892492289	2.89933315178459e-06	1
Botu00391	Botu00050	0.92115287031146	1.09524583757903e-06	1
Botu00538	Botu00050	0.948123162886578	7.6982190844177e-08	1
Botu00654	Botu00050	0.900937462695559	4.59331499724769e-06	1
Botu00699	Botu00050	0.911528514116274	2.26110933310153e-06	1
Botu00815	Botu00050	0.906166581680296	3.27089173479678e-06	1
Botu00941	Botu00050	0.902591960056311	4.13392745857166e-06	1
Botu00957	Botu00050	0.914133841952908	1.87385640693094e-06	1
Botu00260	Botu00051	-0.92128801431127	1.08346123051106e-06	0
Botu00833	Botu00051	-0.902417550534521	4.18046892503021e-06	0
Botu01250	Botu00051	-0.915552814502076	1.68739508810134e-06	0
Botu00278	Botu00055	0.955122853746071	3.0522044447423e-08	1
Botu00076	Botu00058	0.950849351980114	5.45609879498699e-08	1
Botu00242	Botu00058	0.903400372184381	3.92380343949839e-06	1
Botu00640	Botu00058	0.905189283812469	3.49031512314468e-06	1
Botu00667	Botu00058	0.939074132379777	2.1413762785194e-07	1
Botu01188	Botu00058	0.932018899454895	4.29052862127577e-07	1
Botu00089	Botu00059	-0.903400372184381	3.92380343949839e-06	0
Botu00902	Botu00059	-0.914448928346055	1.83103292084041e-06	0
Botu01506	Botu00059	-0.919901305109885	1.20957031035651e-06	0
Botu00076	Botu00061	0.901610017889088	4.40169555648851e-06	1
Botu00207	Botu00061	0.954263543762166	3.44548369834996e-08	1
Botu00216	Botu00061	-0.922940550194132	9.47722236910309e-07	0
Botu00242	Botu00061	0.931065726741966	4.68599955283366e-07	1
Botu00260	Botu00061	0.942754919499106	1.44105719801502e-07	1
Botu00355	Botu00061	0.901610017889088	4.40169555648851e-06	1
Botu00538	Botu00061	0.966875947001272	4.36253433377942e-09	1
Botu00654	Botu00061	0.948633583487128	7.22798434438232e-08	1
Botu00815	Botu00061	0.974955277280859	7.22640391970231e-10	1
Botu00957	Botu00061	0.927484704716035	6.45583506209135e-07	1
Botu01240	Botu00061	0.901580193829561	4.41004920159749e-06	1
Botu01259	Botu00061	0.92140497462764	1.07334803756132e-06	1
Botu01328	Botu00061	0.912420837442742	2.12159301216097e-06	1
Botu01397	Botu00061	0.907789083573417	2.93204744461484e-06	1
