Var1	Var2	r	p	r.sign
Botu01596	Otu00001	-0.865915001148736	3.01080978308832e-05	0
Otu00185	Otu00004	0.875	1.95226138159921e-05	1
Botu00225	Otu00004	0.873551384059358	2.09646007656161e-05	1
Botu00877	Otu00004	-0.857159809958933	4.44276635547247e-05	0
Otu00054	Otu00007	0.866845743816457	2.88427700407823e-05	1
Botu01224	Otu00007	-0.861523332394847	3.67160342935602e-05	0
Otu00064	Otu00010	0.896319002979431	6.10631458064503e-06	1
Otu00216	Otu00010	0.877155589070515	1.75298851967653e-05	1
Otu00355	Otu00010	0.862550752159933	3.50717914447962e-05	1
Botu00093	Otu00010	-0.913984365484134	1.89446250997705e-06	0
Otu00439	Otu00013	-0.866928909997612	2.87318854184093e-05	0
Otu00109	Otu00016	0.88632574123769	1.08325345236082e-05	1
Botu00222	Otu00016	0.858181208782129	4.25123846166109e-05	1
Botu00366	Otu00016	0.918095156313256	1.3920235661935e-06	1
Botu00716	Otu00016	0.873878651529725	2.06313452753015e-05	1
Otu00024	Otu00017	0.879314963590865	1.57059545362603e-05	1
Otu00104	Otu00017	0.877569608688413	1.71671961988196e-05	1
Otu00122	Otu00017	0.894455814043941	6.82410730101779e-06	1
Otu00520	Otu00017	0.869294341160858	2.57226949207379e-05	1
Otu00087	Otu00019	-0.871831847637999	2.27898659790338e-05	0
Botu00566	Otu00019	0.876019621334175	1.85578258298236e-05	1
Botu00241	Otu00020	0.854711613914797	4.93105409462569e-05	1
Botu00329	Otu00020	0.858676207513417	4.16090623267529e-05	1
Botu00539	Otu00020	0.869844027518743	2.50622154442937e-05	1
Botu00583	Otu00020	0.937169416645581	2.60359104053975e-07	1
Botu00698	Otu00020	0.869177022998357	2.58655109284245e-05	1
Botu00891	Otu00020	0.888502142386335	9.60541933814341e-06	1
Otu00078	Otu00024	0.88652246329243	1.07165199270121e-05	1
Otu00117	Otu00024	0.901818181818182	4.3437559169579e-06	1
Otu00122	Otu00024	0.891719994568326	8.00441739912117e-06	1
Botu00096	Otu00025	0.877241552077723	1.7454061511657e-05	1
Otu00078	Otu00027	0.857142857142857	4.44600444700072e-05	1
Otu00202	Otu00027	0.981175784559485	1.14662501715657e-10	1
Otu00225	Otu00027	0.910246595925815	2.47488827609388e-06	1
Otu00712	Otu00027	0.8807263440927	1.46012531914153e-05	1
Botu00162	Otu00027	-0.929995535876868	5.16596688093784e-07	0
Botu00064	Otu00029	-0.904541212546341	3.6424848037786e-06	0
Otu00630	Otu00031	0.894838138501957	6.67136143039926e-06	1
Botu00391	Otu00031	0.899647355829481	4.98037380936012e-06	1
Botu00640	Otu00031	0.864044316366447	3.27906184469651e-05	1
