,Degree,BetweennessCentrality
Botu0066,6,9383.99166666666
Botu0568,9,1719.74365079365
Botu0204,4,3702.9
Botu0049,4,2594.1746031746
Botu0537,6,11914.0591269841
Otu0299,4,4984.54166666667
Botu0174,5,3560
Botu0616,7,12275.525
Botu0617,6,7145.46137566137
Botu0641,6,9012.84166666667
Botu0695,4,7191
Botu0168,4,2867.32619047619
Botu0495,4,2160.33333333333
Botu0268,5,5483.10833333334
Botu0427,4,1657.9373015873
Botu0373,4,2553.6246031746
Botu0289,4,1400.87777777778
Botu0645,4,2628
Botu0395,4,11067.1523809524
Botu0703,5,3807
Botu0966,4,1706
Botu0473,4,1694
Botu0531,5,2338
Botu0763,5,2338
Otu0029,6,1949.50793650794
Otu0083,6,5647.43174603174
Otu0230,4,7524
Otu0280,4,1706.17380952381
Otu0298,4,1327.5
Otu0486,4,4869.18333333333
