,Degree,BetweennessCentrality
Botu0066,25,4916.61855923148
Botu0090,20,4309.42830389858
Botu0113,21,5763.82949412389
Botu0289,19,4721.48274217169
Botu0681,19,4284.86837528979
Botu0051,20,3554.63205870604
Botu0325,15,2931.98504390135
Botu0081,15,3079.89979551615
Botu0192,20,4256.3544188631
Botu0277,21,5172.28254059335
Botu0281,14,4577.77466252657
Botu0395,24,5452.48963820177
Botu0427,18,3220.77215470001
Botu0433,15,5424.03905013849
Botu0049,16,3268.09380524687
Botu0167,15,4184.07307111344
Botu0187,14,3612.17864458183
Botu0239,14,3805.29097062424
Otu0171,27,7373.45790452267
Botu0388,22,4662.27340507268
Botu0957,20,2965.00053475907
Botu0313,19,3730.4463464545
Otu0230,19,2935.51209057313
Otu0299,21,6082.25740584259
Botu0268,22,2837.33088821479
Botu0455,20,3628.31923224784
Botu0641,23,3831.06490553965
Botu0336,17,4797.74490815918
Botu0733,16,2817.79328641908
Botu0005,15,3416.74830001233
Botu0540,18,4369.3782513334
Botu0402,16,3984.15192790462
Botu0575,16,3467.74181340826
Otu0587,16,3077.35401113125
Botu0125,17,3261.51813149165
Botu0199,15,4927.79907195945
Botu0271,15,2971.07311902467
Botu1403,18,4877.8924928445
Botu0587,14,3340.76143946838
Otu0003,18,4630.10209605168
Otu0029,17,3824.54227860684
Otu0183,21,3372.91602881956
