,Degree,BetweennessCentrality
Otu0029,26,2526.47554520897
Otu0183,33,2762.20621497466
Botu0023,23,2460.7502312891
Botu0049,32,2902.2527912214
Botu0066,41,2519.28015530634
Botu0090,39,3411.54280763357
Botu0113,35,3590.72264005093
Botu0167,26,2404.38442810475
Botu0289,31,2426.78742494814
Botu0681,30,2247.10646804689
Otu0038,22,2209.23875388896
Botu0081,22,2318.31997886088
Otu0064,23,3025.81317609347
Otu0314,27,2598.50049527211
Botu0277,35,2729.24067958942
Botu0073,22,2095.02877049967
Botu0395,39,2625.75244918073
Botu0433,25,2154.27512191594
Botu0898,36,2571.59968204113
Botu0187,24,2070.47429597469
Otu0171,35,2267.53321822027
Botu0388,31,2876.03496500968
Botu0537,31,2333.2497402842
Botu0455,32,2855.46440306254
Botu0174,27,2512.45334377247
Botu0540,29,2481.14400853284
Otu0299,30,2455.29411934409
Botu0641,36,2373.03948651706
Botu0218,26,2183.6155255701
Otu0003,33,2810.90157945658
Otu0043,23,2325.10154614742
