,Degree,BetweennessCentrality
Otu0183,60,1662.39035435439
Botu0066,65,1496.22012178966
Botu0074,50,1459.21900090104
Botu0090,60,1481.22014285922
Botu0113,59,1532.70944779743
Botu0167,51,1552.70136973679
Botu0187,45,1434.33823641879
Botu0302,56,1531.00220700983
Botu0325,46,1430.78220444949
Botu0455,52,1592.08047982403
Botu0277,61,1855.47188069761
Botu0395,61,1472.93051375505
Botu0537,61,1632.82199742684
Botu0587,47,1749.69569560798
Botu0402,47,1448.07250184868
Botu0239,49,1534.38829869279
Botu0174,56,1854.14865805604
Botu0575,51,2085.3146260836
Botu0101,44,1719.72877111571
