,Degree,BetweennessCentrality
Botu0210,21,2204.02257634421
Otu0037,24,6477.47525912601
Otu0089,27,2621.93837694824
Otu0154,28,5218.14922674139
Otu0309,18,2819.80578893229
Otu0595,17,3309.0891169028
Botu0008,19,7354.83419544039
Botu0094,37,5649.04237040609
Botu0117,21,3925.71229649271
Botu0148,31,4777.59867657261
Botu0170,37,6727.64534539512
Otu0175,20,3392.69874313363
Otu0325,16,3819.31617809524
Otu0367,14,2458.20683413531
Botu0356,21,2046.8810099678
Botu0388,23,3011.31012488299
Botu0082,23,1898.96857812911
Otu0203,16,3103.75023282899
Otu0231,12,2428.22723089572
Botu0109,21,3319.99742141282
Botu0219,22,2104.56099286553
Botu0253,24,8444.02524878693
Botu0274,33,9325.81127694035
Botu0976,13,2711.6909293379
Botu0316,14,2047.727033171
Otu0324,14,1892.46730997223
Botu0119,17,2195.79257060169
Botu0347,12,3648.25131682015
Otu0015,22,4569.33273517073
Otu0019,29,7844.41351473235
