,Degree,BetweennessCentrality
Otu0061,87,1722.86837988446
Otu0089,102,1368.81415658099
Otu0253,93,1738.24765473002
Botu0034,89,1384.20181745712
Botu0082,91,1339.72717174859
Botu0093,71,1554.2558275943
Botu0119,93,1334.8777100228
Otu0005,61,1607.56768827443
Otu0037,93,1464.99345829148
Otu0058,83,1468.28461878049
Otu0062,58,1415.67771369447
Otu0091,69,1566.05677045295
Otu0104,68,1317.79043811519
Botu0071,94,1402.4325893006
Botu0170,104,1319.32244175461
Botu0219,81,1363.89511688747
Botu0240,59,1367.92683089276
Botu0253,113,2187.01549775555
Botu0274,106,1534.12373485715
Botu0347,79,1408.09213161859
Botu0077,75,1725.42507191645
Botu0120,76,1420.32157085684
Botu0454,74,1523.35184358856
Otu0274,56,1371.08416419712
Otu0019,100,1434.02354436287
Otu0068,68,1587.9543118885
Otu0167,63,1289.02937754896
Botu0008,89,1646.1810302109
Botu0035,89,1812.69041331307
Botu0148,101,1455.02610888321
Botu0214,80,1316.84427431454
Otu0066,76,1539.75271529161
Otu0221,56,1262.87294679707
Otu0357,62,1375.60399814285
Botu0073,57,1323.77635906925
