,Degree,BetweennessCentrality
Botu0053,38,4533.3568162792
Botu0134,38,2960.46240500522
Otu0037,50,2940.24868670427
Botu0071,51,2093.06254933727
Botu0094,64,2475.3046226564
Botu0109,52,2919.70626937502
Botu0274,61,3105.5157715509
Botu0347,38,3831.52166955709
Botu0648,35,2698.18433485388
Botu0120,36,2784.8476968533
Otu0018,37,2784.77231669853
Otu0019,55,2942.0320939656
Otu0089,58,2344.7141728442
Botu0117,41,2116.3328943238
Botu0148,60,4115.95303345584
Botu0170,68,4032.80240801294
Botu0214,51,3437.59530512473
Botu0253,58,3398.8682703291
Botu0611,48,2091.96262184108
Otu0130,40,3487.87860591265
Otu0175,45,2838.01155182775
Otu0367,29,2647.65934359502
Otu0061,41,3588.62271588998
Otu0221,30,3667.84990673633
Botu0316,30,2149.01735788209
Botu0454,32,3932.93214618126
Otu0357,30,3950.37614524071
Botu0035,50,4065.49200932408
Botu0119,55,3865.29890339157
Botu0097,32,2265.49670078778
Botu0073,28,3251.88325181387
Botu0157,29,3903.9811373422
