,Degree,BetweennessCentrality
Botu01934,82,3525.31799417498
Botu00506,61,4542.04572879818
Botu00016,80,4362.41908312113
Botu00049,80,2290.5682626609
Botu00054,85,4051.60324070159
Botu00068,122,3198.22182627326
Botu00072,115,3629.56738371018
Botu00103,125,3039.26219546588
Botu00107,80,3058.38111928186
Botu00178,111,3635.58678268067
Botu00247,84,5228.34299899168
Botu00319,75,2850.04999109767
Botu00320,112,2767.70581624801
Botu00374,124,2566.86367947773
Botu00455,121,3928.214730867
Botu00504,75,7351.69872377716
Botu00785,94,2464.54204496203
Botu00942,85,2328.77405145359
Botu01060,92,2414.59220007165
Botu01137,120,2735.13936749794
Botu01144,98,3139.3082625715
Botu01227,90,3430.56710315419
Botu01423,115,2341.43983460259
Botu02299,96,3130.46397155245
Botu02654,59,3589.01375662805
Botu00239,76,3349.58802948189
Botu01092,62,3674.0352553895
Botu00005,94,2583.79374691685
Botu00035,84,3456.97139486511
Botu00124,102,4525.19058477947
Botu00436,105,2567.3619246995
Botu00041,74,2398.83973055829
Botu00442,108,3721.2242864379
Botu00098,67,2454.37005722036
Botu00797,59,2300.37296074396
