Var1	Var2	r	p	r.sign
Otu00431	Otu00004	0.823741905785737	2.65080894084058e-05	1
Botu00008	Otu00004	-0.842540122604981	1.14497258358881e-05	0
Botu00496	Otu00004	0.836091450167671	1.54498965678762e-05	1
Botu00525	Otu00004	0.816771936895465	3.53151996363987e-05	1
Botu02028	Otu00004	0.831162773771298	1.92626169512877e-05	1
Otu00885	Otu00005	-0.862255478875424	4.19154256281473e-06	0
Botu00057	Otu00005	-0.840382396318218	1.2675511156246e-05	0
Botu00119	Otu00005	0.809588691536449	4.68882927622261e-05	1
Botu00583	Otu00005	0.812077713065177	4.25590522721286e-05	1
Botu01514	Otu00005	-0.819351693973058	3.18024793535265e-05	0
Botu01851	Otu00005	-0.80952657166021	4.70009609203625e-05	0
Botu02076	Otu00005	-0.850188727125109	7.88526230932618e-06	0
Botu02373	Otu00005	-0.873053239492374	2.26034203132386e-06	0
Otu00051	Otu00006	0.834881320949432	1.63203675125345e-05	1
Otu00184	Otu00006	0.810950845950084	4.44748677534967e-05	1
Otu01058	Otu00006	0.835128123261434	1.61395126920816e-05	1
Botu00001	Otu00006	-0.843137254901961	1.11290038127265e-05	0
Botu00007	Otu00006	-0.810113519091847	4.59455434362877e-05	0
Botu00013	Otu00006	0.824561403508772	2.5608231598806e-05	1
Botu00088	Otu00006	-0.839013450348008	1.35100549845113e-05	0
Botu00214	Otu00006	-0.845041773232062	1.01569353387898e-05	0
Botu00288	Otu00006	0.812633318393441	4.16406255649981e-05	1
Botu00616	Otu00006	0.924435099777507	4.20906807185872e-08	1
Botu00828	Otu00006	0.828417518401996	2.17154032662314e-05	1
Botu00864	Otu00006	0.81173363131126	4.31364315360838e-05	1
Botu00904	Otu00006	0.819758953056862	3.12761497909264e-05	1
Botu01137	Otu00006	0.818425560796205	3.30275758595455e-05	1
Botu01144	Otu00006	0.826761388668953	2.33203682658001e-05	1
Botu01153	Otu00006	0.834304739296147	1.67496484466678e-05	1
Botu01179	Otu00006	0.808136910358579	4.95823647788107e-05	1
Botu01189	Otu00006	0.905070103584579	2.45323191094826e-07	1
Botu01309	Otu00006	0.82495387671375	2.51865918081684e-05	1
Botu01403	Otu00006	0.865401517729661	3.52047463136884e-06	1
Botu01435	Otu00006	0.813525044668597	4.02018780101265e-05	1
Botu01461	Otu00006	0.807944183108994	4.99497198143128e-05	1
Botu01677	Otu00006	0.832932147535046	1.78106114641086e-05	1
Botu01811	Otu00006	0.82910981563926	2.10730180456586e-05	1
Botu02217	Otu00006	0.903694519361437	2.74023838509052e-07	1
Botu02539	Otu00006	0.842540575613729	1.14494795560027e-05	1
Botu00161	Otu00007	-0.817995544801446	3.36099423976499e-05	0
Botu01811	Otu00007	0.842616617147168	1.14082034969876e-05	1
Botu02010	Otu00007	0.827119682164939	2.29648200824606e-05	1
Botu01106	Otu00008	0.841259490136478	1.21643409225491e-05	1
Otu00031	Otu00011	-0.84537959054333	9.99234207155197e-06	0
Otu00036	Otu00011	0.952917109792447	1.04714148463358e-09	1
Otu00051	Otu00011	0.820691126240326	3.00993268380623e-05	1
Otu00136	Otu00011	0.833659333875476	1.72415877006671e-05	1
Otu00269	Otu00011	0.850026990954182	7.94936228354359e-06	1
Otu00271	Otu00011	0.831180805520525	1.92473245668179e-05	1
Otu00432	Otu00011	0.836208541446471	1.53678187602146e-05	1
Otu00476	Otu00011	0.858048568645715	5.25859294775444e-06	1
Otu00616	Otu00011	0.88844868593644	8.45015744932454e-07	1
Botu00017	Otu00011	-0.822776745366731	2.76023745775511e-05	0
Botu00032	Otu00011	-0.814434268861111	3.87787185616162e-05	0
Botu00048	Otu00011	0.84363293663078	1.08686452917617e-05	1
Botu00305	Otu00011	0.858675457878235	5.08617114247656e-06	1
Botu00486	Otu00011	0.819717757453263	3.1329049763773e-05	1
Botu00504	Otu00011	0.816649104320337	3.54903839849818e-05	1
Botu00698	Otu00011	-0.820439916968518	3.04126849173247e-05	0
Botu00840	Otu00011	0.831839862546878	1.86954640499781e-05	1
Botu00978	Otu00011	0.814346444628416	3.89142849259727e-05	1
Botu01354	Otu00011	0.823840120796363	2.63988401423276e-05	1
Botu01379	Otu00011	0.822294142299824	2.81638443047072e-05	1
Botu01774	Otu00011	0.836769955325912	1.49794432393602e-05	1
Botu01821	Otu00011	0.820178656268757	3.07415287186252e-05	1
Botu01855	Otu00011	0.809402331073848	4.72269902673794e-05	1
Botu01934	Otu00011	0.860159389232789	4.69725014262679e-06	1
Botu01963	Otu00011	0.87217362682222	2.38183275014237e-06	1
Botu02071	Otu00011	0.825126734834283	2.50027762498384e-05	1
Botu02272	Otu00011	0.837044535579943	1.47925718170239e-05	1
Botu02289	Otu00011	0.817683581298407	3.40378907814909e-05	1
Botu02315	Otu00011	0.842275402700893	1.15944199818863e-05	1
Botu02654	Otu00011	0.823706322683105	2.65477653060842e-05	1
Otu00642	Otu00015	0.842038430111052	1.17252728781825e-05	1
Botu00065	Otu00015	0.824527122027441	2.56453451101812e-05	1
Botu00163	Otu00015	0.822423736512065	2.8012123382215e-05	1
Botu00248	Otu00015	0.808009343525007	4.98252600640292e-05	1
Botu00331	Otu00015	0.84862866359376	8.52243481297421e-06	1
Botu00357	Otu00015	0.819487818380981	3.16257222290339e-05	1
Botu00363	Otu00015	0.824953344398645	2.51871596432807e-05	1
Botu00378	Otu00015	-0.854026113860429	6.48901770006205e-06	0
Botu00405	Otu00015	0.816535453129271	3.56531330001353e-05	1
Botu00467	Otu00015	0.822848871581302	2.75192876670882e-05	1
Botu00646	Otu00015	0.814444168709837	3.87634623226774e-05	1
Botu00732	Otu00015	0.862963306066876	4.0316918861194e-06	1
Botu00741	Otu00015	0.906273537994967	2.2238402230812e-07	1
Botu00874	Otu00015	0.821619129700491	2.89654961724839e-05	1
Botu01218	Otu00015	0.880758809987416	1.40466807607709e-06	1
Botu01284	Otu00015	0.85740914621351	5.43960737564575e-06	1
Botu01321	Otu00015	0.863239912090228	3.97066418500458e-06	1
Botu01334	Otu00015	0.81349039872464	4.02569756330351e-05	1
Botu01545	Otu00015	0.809049521742624	4.78739030636e-05	1
Botu01659	Otu00015	0.843909541357377	1.07256386208121e-05	1
Botu01718	Otu00015	0.828834255233413	2.13267389912453e-05	1
Botu01822	Otu00015	0.847889613137723	8.83936619189285e-06	1
Botu01953	Otu00015	0.878285318599714	1.6420716826282e-06	1
Botu00268	Otu00017	0.832902335976687	1.78342774579399e-05	1
Botu00008	Otu00023	-0.824862364493135	2.5284371105494e-05	0
Botu00144	Otu00023	-0.854182035358829	6.43709393077785e-06	0
Botu00525	Otu00023	0.833271826414916	1.75428462168004e-05	1
Otu00434	Otu00029	0.842738132799626	1.13425081509355e-05	1
Botu00065	Otu00029	0.829799240436364	2.04495014557438e-05	1
Botu00147	Otu00029	-0.8506228643097	7.71538981791942e-06	0
Botu00346	Otu00029	0.879917655739175	1.48184120196682e-06	1
Botu00358	Otu00029	0.847826541235746	8.86687534551456e-06	1
Botu00429	Otu00029	0.84161535778347	1.19620325769176e-05	1
Botu00534	Otu00029	0.860103626943005	4.71138866697807e-06	1
Botu00739	Otu00029	0.824443404182175	2.57361719921967e-05	1
Botu00856	Otu00029	0.864836988055422	3.63358762234256e-06	1
Botu01087	Otu00029	0.867357512953368	3.15163814734731e-06	1
Botu01558	Otu00029	0.82291713521615	2.74408469889131e-05	1
Botu01637	Otu00029	0.826919208607569	2.31631826335121e-05	1
Botu01755	Otu00029	0.827416385895075	2.26739036972567e-05	1
Otu00036	Otu00031	-0.815008972059064	3.79014932405664e-05	0
Botu00094	Otu00031	0.818652849740933	3.27232518788634e-05	1
Botu00120	Otu00031	-0.808907410384772	4.81366016809037e-05	0
Botu00246	Otu00031	-0.844398794570848	1.0476635226464e-05	0
Botu00252	Otu00031	-0.845756146751654	9.81157227042395e-06	0
Botu00320	Otu00031	-0.815544041450777	3.71000217569417e-05	0
Botu00399	Otu00031	-0.835404174331193	1.59392578258366e-05	0
Botu00596	Otu00031	-0.81220997972886	4.2338863105007e-05	0
Botu00808	Otu00031	0.814405929284378	3.88224197731546e-05	1
Botu00949	Otu00031	-0.822678357449948	2.7716059156635e-05	0
Botu00993	Otu00031	-0.80912906605069	4.77273955761248e-05	0
Botu01034	Otu00031	-0.834765025923767	1.64061864988962e-05	0
Botu01153	Otu00031	-0.829785265105355	2.04619824293317e-05	0
Botu01297	Otu00031	-0.846567724560992	9.43146940546313e-06	0
Botu01302	Otu00031	-0.822646626634549	2.77528083538758e-05	0
Botu01311	Otu00031	-0.810814753432149	4.47111345895923e-05	0
Botu01435	Otu00031	-0.847484574398694	9.01730695512803e-06	0
Botu01522	Otu00031	-0.844779828743593	1.0286154853878e-05	0
Botu01623	Otu00031	-0.817465526526289	3.43397667861289e-05	0
Botu01643	Otu00031	-0.812609996012835	4.16788355963593e-05	0
Botu01811	Otu00031	-0.818332770856724	3.31525069223737e-05	0
Botu01932	Otu00031	-0.841076871657722	1.22692905557553e-05	0
Botu01934	Otu00031	-0.867651467531859	3.09918860863512e-06	0
Botu02354	Otu00031	-0.850753400369297	7.66493036374882e-06	0
Botu02361	Otu00031	-0.827635052908155	2.24615216937174e-05	0
Botu00032	Otu00035	-0.814241486068111	3.90768294562527e-05	0
Botu00688	Otu00035	0.881414387975912	1.34694627451637e-06	1
Otu00080	Otu00036	-0.854905123123625	6.20092941172601e-06	0
Otu00094	Otu00036	-0.809490188749754	4.70670563412767e-05	0
Otu00136	Otu00036	0.822124165960674	2.83639046227968e-05	1
Otu00269	Otu00036	0.835473949440414	1.58889788635097e-05	1
Otu00476	Otu00036	0.829608935509381	2.06200173828996e-05	1
Otu00616	Otu00036	0.851620947634137	7.33670829933253e-06	1
Botu00017	Otu00036	-0.849472848199751	8.17238177264201e-06	0
Botu00048	Otu00036	0.8324621278353	1.81868800313012e-05	1
Botu00156	Otu00036	0.831624129585163	1.88745990379324e-05	1
Botu00305	Otu00036	0.830764569531613	1.96029830303868e-05	1
Botu00416	Otu00036	0.821188911987835	2.94865182257631e-05	1
Botu00440	Otu00036	-0.817620421963851	3.4125095180304e-05	0
Botu00486	Otu00036	0.869920794974897	2.71892712389032e-06	1
Botu00504	Otu00036	0.819702091061598	3.13491872601102e-05	1
Botu00698	Otu00036	-0.839868172261076	1.29836649818138e-05	0
Botu00949	Otu00036	0.813704117217112	3.991812094295e-05	1
Botu00978	Otu00036	0.810888175663282	4.45835356850388e-05	1
Botu01354	Otu00036	0.815189969698631	3.76287448720092e-05	1
Botu01379	Otu00036	0.851213814677235	7.48920693216526e-06	1
Botu01472	Otu00036	0.847638898546348	8.9491510033568e-06	1
Botu01535	Otu00036	0.827832398836201	2.22713088406934e-05	1
Botu01615	Otu00036	0.811311515220228	4.38538541993605e-05	1
Botu01628	Otu00036	0.809863135276892	4.63932755550012e-05	1
Botu01643	Otu00036	0.8138989767528	3.96112881602129e-05	1
Botu01855	Otu00036	0.81315080700332	4.08004443255283e-05	1
Botu01898	Otu00036	0.833720146992836	1.71947138944972e-05	1
Botu01923	Otu00036	0.826761464296956	2.3320292724005e-05	1
Botu01934	Otu00036	0.832836985842102	1.78862499229382e-05	1
Botu01963	Otu00036	0.883839381681281	1.15081906670866e-06	1
Botu02071	Otu00036	0.841237020088901	1.21772127021913e-05	1
Botu02315	Otu00036	0.826110869576139	2.3977925816876e-05	1
Botu02354	Otu00036	0.814546962789338	3.86053526910679e-05	1
Otu00049	Otu00042	0.866641522788065	3.28259435211642e-06	1
Otu00058	Otu00042	0.812893765620436	4.12159468508033e-05	1
Otu00077	Otu00042	-0.809762924675757	4.65735083090557e-05	0
Otu00217	Otu00042	-0.843637409319172	1.0866319956282e-05	0
Otu00311	Otu00042	0.872597853417846	2.322555873846e-06	1
Otu00476	Otu00042	0.843064249973071	1.11677974476976e-05	1
Botu00048	Otu00042	0.817438381364484	3.43775059206131e-05	1
Botu00089	Otu00042	-0.845320827590312	1.00208075997088e-05	0
Botu00137	Otu00042	0.812992388161068	4.10561012713639e-05	1
Botu00175	Otu00042	0.820360140256392	3.05127785673598e-05	1
Botu00265	Otu00042	0.817764063863175	3.39270434608352e-05	1
Botu00305	Otu00042	0.892588873769743	6.32874114003812e-07	1
Botu00331	Otu00042	0.854628348646849	6.29043181277211e-06	1
Botu00363	Otu00042	0.847359334745843	9.07294449303819e-06	1
Botu00416	Otu00042	0.811163386317715	4.41080084203627e-05	1
Botu00471	Otu00042	0.834810714233122	1.63724252684183e-05	1
Botu00580	Otu00042	0.813091126355386	4.08965975164932e-05	1
Botu00646	Otu00042	0.821503579081225	2.91046580178644e-05	1
Botu00748	Otu00042	0.858187492167466	5.21995638091965e-06	1
Botu00840	Otu00042	0.87049167109176	2.62984794074939e-06	1
Botu00874	Otu00042	0.853569683376561	6.64308530584634e-06	1
Botu01076	Otu00042	0.820765989879674	3.000647642315e-05	1
Botu01111	Otu00042	0.849899582199996	8.00017154478638e-06	1
