,Degree,BetweennessCentrality
Botu01403,47,3470.71645875215
Botu01934,70,4278.9026014486
Botu00054,69,7490.50013456771
Botu00068,104,3669.95903698949
Botu00072,86,2535.24705031031
Botu00107,62,2801.29476171866
Botu00226,117,3663.27554240446
Botu00247,58,4053.95819241061
Botu00252,57,3336.92233856457
Botu00319,59,2741.12973212492
Botu00320,91,2428.61645827854
Botu00455,101,3791.78534341674
Botu00504,55,10509.5582264917
Botu00614,104,2419.37271154699
Botu00785,77,3253.35451810322
Botu00998,89,3384.03297911486
Botu01137,104,2929.31253807694
Botu01144,77,3424.73918334879
Botu01227,75,3412.98022389492
Botu01423,98,2522.04044820306
Botu00035,67,3748.00949886437
Botu00103,105,3586.05395900736
Botu00814,74,2592.62144257841
Botu00005,78,3177.01684238829
Botu00041,57,2588.82796388335
Botu00124,86,2850.42542728102
Botu00288,52,2611.83658524698
Botu00442,80,2793.60448561844
Otu00051,89,3681.52350260521
