,Degree,BetweennessCentrality
Otu0089,18,2123.24135183135
Otu0309,10,1638.23365539786
Botu0094,22,5720.14915764969
Botu0148,18,5861.51674843905
Botu0388,13,1428.16537054347
Otu0253,14,1196.62614836036
Otu0037,15,1487.45295905386
Otu0203,8,3090.74192980587
Botu0035,11,4112.76907267891
Botu0170,20,4168.91247943478
Botu0253,16,5886.3884488698
Botu0274,19,5418.21145674814
Botu0119,10,1560.86003776319
Botu0071,17,1708.09803921106
Botu0592,8,2724.67699141902
Botu0356,15,1182.84602695556
Otu0595,8,1177.61528342367
Botu0210,9,1459.07159255993
Otu0324,8,1382.54654315148
Botu0316,9,1599.12300858098
Botu0074,8,5215.32322543326
Botu0488,8,1785.75710027277
Otu0019,17,2997.77706948677
